date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,24,22,25
04-14-2020,82,10,9,10
04-15-2020,95,72,68,75
04-16-2020,82,14,13,14
04-17-2020,100,96,91,100
04-18-2020,95,72,68,75
04-19-2020,84,20,19,21
04-20-2020,121,198,188,207
04-21-2020,120,192,182,201
04-22-2020,107,130,123,136
04-23-2020,121,196,186,205
04-24-2020,143,300,285,315
04-25-2020,127,224,212,235
04-26-2020,137,272,258,285
04-13-2020,85,28,26,29
04-14-2020,88,42,39,44
04-15-2020,95,72,68,75
04-16-2020,82,10,9,10
04-17-2020,100,96,91,100
04-18-2020,94,70,66,73
04-19-2020,90,48,45,50
04-20-2020,99,90,85,94
04-21-2020,96,80,76,84
04-22-2020,103,110,104,115
04-23-2020,90,48,45,50
04-24-2020,113,156,148,163
04-25-2020,139,280,266,294
04-26-2020,105,120,114,126
