date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,86,72,68,75
04-14-2020,80,10,9,10
04-15-2020,82,24,22,25
04-16-2020,83,42,39,44
04-17-2020,92,128,121,134
04-18-2020,88,90,85,94
04-19-2020,81,20,19,21
04-20-2020,84,44,41,46
04-21-2020,93,144,136,151
04-22-2020,102,234,222,245
04-23-2020,95,168,159,176
04-24-2020,85,60,57,63
04-25-2020,104,256,243,268
04-26-2020,108,306,290,321
04-13-2020,82,28,26,29
04-14-2020,80,6,5,6
04-15-2020,84,48,45,50
04-16-2020,87,80,76,84
04-17-2020,81,12,11,12
04-18-2020,86,70,66,73
04-19-2020,86,64,60,67
04-20-2020,93,144,136,151
04-21-2020,91,120,114,126
04-22-2020,90,110,104,115
04-23-2020,82,24,22,25
04-24-2020,97,182,172,191
04-25-2020,90,112,106,117
04-26-2020,102,240,228,252
