date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,72,68,75
04-14-2020,82,40,38,42
04-15-2020,83,72,68,75
04-16-2020,86,126,119,132
04-17-2020,86,128,121,134
04-18-2020,88,162,153,170
04-19-2020,86,120,114,126
04-20-2020,88,154,146,161
04-21-2020,82,48,45,50
04-22-2020,81,26,24,27
04-23-2020,90,196,186,205
04-24-2020,88,150,142,157
04-25-2020,86,128,121,134
04-26-2020,96,306,290,321
04-13-2020,80,16,15,16
04-14-2020,80,12,11,12
04-15-2020,82,48,45,50
04-16-2020,81,20,19,21
04-17-2020,81,24,22,25
04-18-2020,87,140,133,147
04-19-2020,86,128,121,134
04-20-2020,84,90,85,94
04-21-2020,83,60,57,63
04-22-2020,84,88,83,92
04-23-2020,91,216,205,226
04-24-2020,92,234,222,245
04-25-2020,87,140,133,147
04-26-2020,96,300,285,315
