date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,24,22,25
04-14-2020,83,40,38,42
04-15-2020,82,24,22,25
04-16-2020,82,28,26,29
04-17-2020,88,96,91,100
04-18-2020,95,180,171,189
04-19-2020,95,180,171,189
04-20-2020,89,110,104,115
04-21-2020,96,192,182,201
04-22-2020,91,130,123,136
04-23-2020,94,168,159,176
04-24-2020,90,120,114,126
04-25-2020,105,288,273,302
04-26-2020,101,238,226,249
04-13-2020,81,20,19,21
04-14-2020,82,30,28,31
04-15-2020,85,64,60,67
04-16-2020,85,60,57,63
04-17-2020,84,48,45,50
04-18-2020,81,14,13,14
04-19-2020,94,160,152,168
04-20-2020,91,126,119,132
04-21-2020,95,180,171,189
04-22-2020,99,220,209,231
04-23-2020,84,48,45,50
04-24-2020,86,78,74,81
04-25-2020,99,224,212,235
04-26-2020,101,240,228,252
