date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,56,53,58
04-14-2020,81,90,85,94
04-15-2020,80,36,34,37
04-16-2020,80,42,39,44
04-17-2020,82,112,106,117
04-18-2020,80,36,34,37
04-19-2020,83,160,152,168
04-20-2020,81,66,62,69
04-21-2020,84,216,205,226
04-22-2020,84,208,197,218
04-23-2020,84,196,186,205
04-24-2020,83,180,171,189
04-25-2020,84,224,212,235
04-26-2020,86,306,290,321
04-13-2020,80,28,26,29
04-14-2020,80,12,11,12
04-15-2020,81,48,45,50
04-16-2020,80,40,38,42
04-17-2020,81,84,79,88
04-18-2020,82,140,133,147
04-19-2020,83,144,136,151
04-20-2020,83,144,136,151
04-21-2020,81,80,76,84
04-22-2020,82,132,125,138
04-23-2020,81,72,68,75
04-24-2020,80,26,24,27
04-25-2020,85,252,239,264
04-26-2020,84,210,199,220
