date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,40,38,42
04-14-2020,82,80,76,84
04-15-2020,83,108,102,113
04-16-2020,83,112,106,117
04-17-2020,82,64,60,67
04-18-2020,85,180,171,189
04-19-2020,82,80,76,84
04-20-2020,84,132,125,138
04-21-2020,83,96,91,100
04-22-2020,81,52,49,54
04-23-2020,88,252,239,264
04-24-2020,85,180,171,189
04-25-2020,87,224,212,235
04-26-2020,88,272,258,285
04-13-2020,80,4,3,4
04-14-2020,80,24,22,25
04-15-2020,81,40,38,42
04-16-2020,80,10,9,10
04-17-2020,81,36,34,37
04-18-2020,81,42,39,44
04-19-2020,85,160,152,168
04-20-2020,85,180,171,189
04-21-2020,80,20,19,21
04-22-2020,80,22,20,23
04-23-2020,87,240,228,252
04-24-2020,86,208,197,218
04-25-2020,80,28,26,29
04-26-2020,85,180,171,189
