date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,64,60,67
04-14-2020,80,20,19,21
04-15-2020,80,12,11,12
04-16-2020,81,70,66,73
04-17-2020,81,96,91,100
04-18-2020,80,54,51,56
04-19-2020,81,60,57,63
04-20-2020,82,110,104,115
04-21-2020,81,72,68,75
04-22-2020,83,208,197,218
04-23-2020,81,84,79,88
04-24-2020,80,30,28,31
04-25-2020,84,224,212,235
04-26-2020,83,170,161,178
04-13-2020,80,28,26,29
04-14-2020,80,30,28,31
04-15-2020,81,80,76,84
04-16-2020,81,80,76,84
04-17-2020,81,96,91,100
04-18-2020,82,112,106,117
04-19-2020,81,64,60,67
04-20-2020,80,36,34,37
04-21-2020,80,40,38,42
04-22-2020,80,22,20,23
04-23-2020,81,96,91,100
04-24-2020,84,260,247,273
04-25-2020,82,112,106,117
04-26-2020,84,270,256,283
