date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,80,76,84
04-14-2020,82,40,38,42
04-15-2020,86,120,114,126
04-16-2020,81,28,26,29
04-17-2020,82,48,45,50
04-18-2020,82,54,51,56
04-19-2020,82,40,38,42
04-20-2020,85,110,104,115
04-21-2020,83,72,68,75
04-22-2020,81,26,24,27
04-23-2020,91,224,212,235
04-24-2020,84,90,85,94
04-25-2020,91,224,212,235
04-26-2020,90,204,193,214
04-13-2020,80,16,15,16
04-14-2020,80,12,11,12
04-15-2020,81,24,22,25
04-16-2020,81,20,19,21
04-17-2020,82,48,45,50
04-18-2020,82,42,39,44
04-19-2020,84,96,91,100
04-20-2020,85,108,102,113
04-21-2020,88,160,152,168
04-22-2020,86,132,125,138
04-23-2020,82,48,45,50
04-24-2020,85,104,98,109
04-25-2020,92,252,239,264
04-26-2020,95,300,285,315
