date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,89,72,68,75
04-14-2020,82,20,19,21
04-15-2020,83,24,22,25
04-16-2020,89,70,66,73
04-17-2020,84,32,30,33
04-18-2020,87,54,51,56
04-19-2020,85,40,38,42
04-20-2020,100,154,146,161
04-21-2020,111,240,228,252
04-22-2020,111,234,222,245
04-23-2020,94,112,106,117
04-24-2020,103,180,171,189
04-25-2020,88,64,60,67
04-26-2020,84,34,32,35
04-13-2020,83,28,26,29
04-14-2020,82,18,17,18
04-15-2020,86,48,45,50
04-16-2020,86,50,47,52
04-17-2020,86,48,45,50
04-18-2020,91,84,79,88
04-19-2020,99,144,136,151
04-20-2020,99,144,136,151
04-21-2020,95,120,114,126
04-22-2020,91,88,83,92
04-23-2020,105,192,182,201
04-24-2020,93,104,98,109
04-25-2020,117,280,266,294
04-26-2020,103,180,171,189
