date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,32,30,33
04-14-2020,84,30,28,31
04-15-2020,88,60,57,63
04-16-2020,81,14,13,14
04-17-2020,88,64,60,67
04-18-2020,82,18,17,18
04-19-2020,93,100,95,105
04-20-2020,107,198,188,207
04-21-2020,109,216,205,226
04-22-2020,87,52,49,54
04-23-2020,114,252,239,264
04-24-2020,104,180,171,189
04-25-2020,88,64,60,67
04-26-2020,84,34,32,35
04-13-2020,80,4,3,4
04-14-2020,81,12,11,12
04-15-2020,90,80,76,84
04-16-2020,85,40,38,42
04-17-2020,88,60,57,63
04-18-2020,91,84,79,88
04-19-2020,88,64,60,67
04-20-2020,87,54,51,56
04-21-2020,99,140,133,147
04-22-2020,95,110,104,115
04-23-2020,96,120,114,126
04-24-2020,97,130,123,136
04-25-2020,83,28,26,29
04-26-2020,96,120,114,126
