date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,93,80,76,84
04-14-2020,91,70,66,73
04-15-2020,96,96,91,100
04-16-2020,103,140,133,147
04-17-2020,85,32,30,33
04-18-2020,89,54,51,56
04-19-2020,103,140,133,147
04-20-2020,83,22,20,23
04-21-2020,92,72,68,75
04-22-2020,111,182,172,191
04-23-2020,89,56,53,58
04-24-2020,125,270,256,283
04-25-2020,112,192,182,201
04-26-2020,132,306,290,321
04-13-2020,82,12,11,12
04-14-2020,87,42,39,44
04-15-2020,89,56,53,58
04-16-2020,83,20,19,21
04-17-2020,96,96,91,100
04-18-2020,82,14,13,14
04-19-2020,101,128,121,134
04-20-2020,92,72,68,75
04-21-2020,90,60,57,63
04-22-2020,113,198,188,207
04-23-2020,116,216,205,226
04-24-2020,124,260,247,273
04-25-2020,84,28,26,29
04-26-2020,100,120,114,126
