date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,80,76,84
04-14-2020,84,100,95,105
04-15-2020,83,84,79,88
04-16-2020,82,70,66,73
04-17-2020,82,64,60,67
04-18-2020,80,18,17,18
04-19-2020,87,180,171,189
04-20-2020,84,110,104,115
04-21-2020,88,216,205,226
04-22-2020,87,182,172,191
04-23-2020,89,224,212,235
04-24-2020,92,300,285,315
04-25-2020,91,288,273,302
04-26-2020,81,34,32,35
04-13-2020,81,28,26,29
04-14-2020,81,48,45,50
04-15-2020,81,32,30,33
04-16-2020,84,100,95,105
04-17-2020,84,120,114,126
04-18-2020,82,56,53,58
04-19-2020,85,128,121,134
04-20-2020,86,162,153,170
04-21-2020,88,200,190,210
04-22-2020,89,220,209,231
04-23-2020,80,24,22,25
04-24-2020,86,156,148,163
04-25-2020,89,224,212,235
04-26-2020,83,90,85,94
