date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,72,68,75
04-14-2020,82,100,95,105
04-15-2020,81,84,79,88
04-16-2020,80,42,39,44
04-17-2020,83,144,136,151
04-18-2020,81,90,85,94
04-19-2020,82,120,114,126
04-20-2020,84,220,209,231
04-21-2020,85,240,228,252
04-22-2020,81,78,74,81
04-23-2020,80,28,26,29
04-24-2020,85,240,228,252
04-25-2020,84,192,182,201
04-26-2020,85,272,258,285
04-13-2020,80,4,3,4
04-14-2020,80,30,28,31
04-15-2020,81,72,68,75
04-16-2020,81,90,85,94
04-17-2020,80,12,11,12
04-18-2020,81,84,79,88
04-19-2020,81,64,60,67
04-20-2020,80,36,34,37
04-21-2020,84,200,190,210
04-22-2020,83,176,167,184
04-23-2020,80,24,22,25
04-24-2020,85,260,247,273
04-25-2020,86,280,266,294
04-26-2020,81,60,57,63
