date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,87,40,38,42
04-14-2020,98,100,95,105
04-15-2020,91,60,57,63
04-16-2020,90,56,53,58
04-17-2020,94,80,76,84
04-18-2020,110,162,153,170
04-19-2020,91,60,57,63
04-20-2020,84,22,20,23
04-21-2020,111,168,159,176
04-22-2020,123,234,222,245
04-23-2020,126,252,239,264
04-24-2020,107,150,142,157
04-25-2020,103,128,121,134
04-26-2020,117,204,193,214
04-13-2020,80,4,3,4
04-14-2020,90,54,51,56
04-15-2020,88,48,45,50
04-16-2020,81,10,9,10
04-17-2020,93,72,68,75
04-18-2020,103,126,119,132
04-19-2020,91,64,60,67
04-20-2020,90,54,51,56
04-21-2020,105,140,133,147
04-22-2020,92,66,62,69
04-23-2020,120,216,205,226
04-24-2020,89,52,49,54
04-25-2020,85,28,26,29
04-26-2020,135,300,285,315
