date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,24,22,25
04-14-2020,95,90,85,94
04-15-2020,96,96,91,100
04-16-2020,92,70,66,73
04-17-2020,108,160,152,168
04-18-2020,99,108,102,113
04-19-2020,104,140,133,147
04-20-2020,107,154,146,161
04-21-2020,109,168,159,176
04-22-2020,112,182,172,191
04-23-2020,124,252,239,264
04-24-2020,90,60,57,63
04-25-2020,119,224,212,235
04-26-2020,116,204,193,214
04-13-2020,84,24,22,25
04-14-2020,85,30,28,31
04-15-2020,92,72,68,75
04-16-2020,87,40,38,42
04-17-2020,82,12,11,12
04-18-2020,92,70,66,73
04-19-2020,94,80,76,84
04-20-2020,108,162,153,170
04-21-2020,90,60,57,63
04-22-2020,91,66,62,69
04-23-2020,122,240,228,252
04-24-2020,112,182,172,191
04-25-2020,104,140,133,147
04-26-2020,85,30,28,31
