date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,16,15,16
04-14-2020,88,60,57,63
04-15-2020,84,36,34,37
04-16-2020,91,84,79,88
04-17-2020,94,112,106,117
04-18-2020,94,108,102,113
04-19-2020,90,80,76,84
04-20-2020,97,132,125,138
04-21-2020,96,120,114,126
04-22-2020,90,78,74,81
04-23-2020,98,140,133,147
04-24-2020,96,120,114,126
04-25-2020,92,96,91,100
04-26-2020,84,34,32,35
04-13-2020,82,16,15,16
04-14-2020,81,12,11,12
04-15-2020,83,24,22,25
04-16-2020,86,50,47,52
04-17-2020,86,48,45,50
04-18-2020,93,98,93,102
04-19-2020,101,160,152,168
04-20-2020,87,54,51,56
04-21-2020,85,40,38,42
04-22-2020,91,88,83,92
04-23-2020,99,144,136,151
04-24-2020,90,78,74,81
04-25-2020,102,168,159,176
04-26-2020,92,90,85,94
