date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,64,60,67
04-14-2020,80,20,19,21
04-15-2020,80,60,57,63
04-16-2020,80,28,26,29
04-17-2020,80,64,60,67
04-18-2020,82,180,171,189
04-19-2020,81,160,152,168
04-20-2020,82,198,188,207
04-21-2020,82,216,205,226
04-22-2020,82,260,247,273
04-23-2020,83,280,266,294
04-24-2020,82,240,228,252
04-25-2020,81,128,121,134
04-26-2020,83,272,258,285
04-13-2020,80,8,7,8
04-14-2020,80,30,28,31
04-15-2020,80,48,45,50
04-16-2020,80,20,19,21
04-17-2020,80,72,68,75
04-18-2020,80,84,79,88
04-19-2020,81,96,91,100
04-20-2020,80,54,51,56
04-21-2020,81,100,95,105
04-22-2020,81,154,146,161
04-23-2020,81,144,136,151
04-24-2020,81,104,98,109
04-25-2020,81,140,133,147
04-26-2020,81,120,114,126
