date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,32,30,33
04-14-2020,82,20,19,21
04-15-2020,89,72,68,75
04-16-2020,92,98,93,102
04-17-2020,90,80,76,84
04-18-2020,82,18,17,18
04-19-2020,95,120,114,126
04-20-2020,96,132,125,138
04-21-2020,89,72,68,75
04-22-2020,96,130,123,136
04-23-2020,83,28,26,29
04-24-2020,106,210,199,220
04-25-2020,120,320,304,336
04-26-2020,101,170,161,178
04-13-2020,85,40,38,42
04-14-2020,84,36,34,37
04-15-2020,82,16,15,16
04-16-2020,88,70,66,73
04-17-2020,95,120,114,126
04-18-2020,87,56,53,58
04-19-2020,98,144,136,151
04-20-2020,100,162,153,170
04-21-2020,105,200,190,210
04-22-2020,104,198,188,207
04-23-2020,101,168,159,176
04-24-2020,99,156,148,163
04-25-2020,104,196,186,205
04-26-2020,102,180,171,189
