date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,48,45,50
04-14-2020,85,60,57,63
04-15-2020,82,24,22,25
04-16-2020,82,28,26,29
04-17-2020,86,64,60,67
04-18-2020,95,162,153,170
04-19-2020,91,120,114,126
04-20-2020,92,132,125,138
04-21-2020,102,240,228,252
04-22-2020,84,52,49,54
04-23-2020,85,56,53,58
04-24-2020,105,270,256,283
04-25-2020,110,320,304,336
04-26-2020,83,34,32,35
04-13-2020,81,16,15,16
04-14-2020,82,30,28,31
04-15-2020,81,16,15,16
04-16-2020,89,100,95,105
04-17-2020,83,36,34,37
04-18-2020,83,42,39,44
04-19-2020,95,160,152,168
04-20-2020,86,72,68,75
04-21-2020,81,20,19,21
04-22-2020,88,88,83,92
04-23-2020,91,120,114,126
04-24-2020,99,208,197,218
04-25-2020,98,196,186,205
04-26-2020,91,120,114,126
