date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,24,22,25
04-14-2020,80,20,19,21
04-15-2020,82,96,91,100
04-16-2020,81,70,66,73
04-17-2020,80,16,15,16
04-18-2020,81,54,51,56
04-19-2020,84,160,152,168
04-20-2020,84,154,146,161
04-21-2020,83,144,136,151
04-22-2020,80,26,24,27
04-23-2020,87,280,266,294
04-24-2020,84,180,171,189
04-25-2020,86,256,243,268
04-26-2020,84,170,161,178
04-13-2020,80,16,15,16
04-14-2020,80,24,22,25
04-15-2020,81,48,45,50
04-16-2020,82,80,76,84
04-17-2020,82,108,102,113
04-18-2020,82,84,79,88
04-19-2020,81,48,45,50
04-20-2020,80,36,34,37
04-21-2020,82,80,76,84
04-22-2020,82,110,104,115
04-23-2020,85,216,205,226
04-24-2020,80,26,24,27
04-25-2020,86,252,239,264
04-26-2020,86,240,228,252
