date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,8,7,8
04-14-2020,105,90,85,94
04-15-2020,110,108,102,113
04-16-2020,107,98,93,102
04-17-2020,124,160,152,168
04-18-2020,120,144,136,151
04-19-2020,118,140,133,147
04-20-2020,122,154,146,161
04-21-2020,126,168,159,176
04-22-2020,145,234,222,245
04-23-2020,157,280,266,294
04-24-2020,138,210,199,220
04-25-2020,124,160,152,168
04-26-2020,165,306,290,321
04-13-2020,83,12,11,12
04-14-2020,83,12,11,12
04-15-2020,84,16,15,16
04-16-2020,99,70,66,73
04-17-2020,96,60,57,63
04-18-2020,111,112,106,117
04-19-2020,106,96,91,100
04-20-2020,90,36,34,37
04-21-2020,85,20,19,21
04-22-2020,135,198,188,207
04-23-2020,133,192,182,201
04-24-2020,108,104,98,109
04-25-2020,142,224,212,235
04-26-2020,121,150,142,157
