date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,56,53,58
04-14-2020,81,10,9,10
04-15-2020,82,24,22,25
04-16-2020,88,84,79,88
04-17-2020,86,64,60,67
04-18-2020,94,144,136,151
04-19-2020,82,20,19,21
04-20-2020,91,110,104,115
04-21-2020,104,240,228,252
04-22-2020,104,234,222,245
04-23-2020,100,196,186,205
04-24-2020,111,300,285,315
04-25-2020,106,256,243,268
04-26-2020,108,272,258,285
04-13-2020,83,36,34,37
04-14-2020,83,36,34,37
04-15-2020,83,32,30,33
04-16-2020,85,50,47,52
04-17-2020,92,120,114,126
04-18-2020,87,70,66,73
04-19-2020,84,48,45,50
04-20-2020,89,90,85,94
04-21-2020,86,60,57,63
04-22-2020,84,44,41,46
04-23-2020,89,96,91,100
04-24-2020,85,52,49,54
04-25-2020,94,140,133,147
04-26-2020,92,120,114,126
