date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,8,7,8
04-14-2020,80,20,19,21
04-15-2020,82,96,91,100
04-16-2020,82,84,79,88
04-17-2020,81,64,60,67
04-18-2020,82,90,85,94
04-19-2020,81,80,76,84
04-20-2020,82,88,83,92
04-21-2020,81,72,68,75
04-22-2020,83,130,123,136
04-23-2020,81,56,53,58
04-24-2020,81,60,57,63
04-25-2020,81,64,60,67
04-26-2020,84,170,161,178
04-13-2020,80,24,22,25
04-14-2020,81,42,39,44
04-15-2020,80,24,22,25
04-16-2020,80,30,28,31
04-17-2020,80,24,22,25
04-18-2020,81,42,39,44
04-19-2020,81,80,76,84
04-20-2020,83,126,119,132
04-21-2020,82,120,114,126
04-22-2020,83,132,125,138
04-23-2020,81,72,68,75
04-24-2020,84,182,172,191
04-25-2020,84,196,186,205
04-26-2020,80,30,28,31
