date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,56,53,58
04-14-2020,80,60,57,63
04-15-2020,81,96,91,100
04-16-2020,81,126,119,132
04-17-2020,81,160,152,168
04-18-2020,81,126,119,132
04-19-2020,80,40,38,42
04-20-2020,81,132,125,138
04-21-2020,81,96,91,100
04-22-2020,81,104,98,109
04-23-2020,81,168,159,176
04-24-2020,82,180,171,189
04-25-2020,82,224,212,235
04-26-2020,84,340,323,357
04-13-2020,80,28,26,29
04-14-2020,80,54,51,56
04-15-2020,80,80,76,84
04-16-2020,81,90,85,94
04-17-2020,81,120,114,126
04-18-2020,81,126,119,132
04-19-2020,80,16,15,16
04-20-2020,81,90,85,94
04-21-2020,80,60,57,63
04-22-2020,82,198,188,207
04-23-2020,80,72,68,75
04-24-2020,83,260,247,273
04-25-2020,83,280,266,294
04-26-2020,82,240,228,252
