date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,72,68,75
04-14-2020,81,40,38,42
04-15-2020,81,36,34,37
04-16-2020,82,70,66,73
04-17-2020,84,112,106,117
04-18-2020,84,126,119,132
04-19-2020,82,80,76,84
04-20-2020,84,132,125,138
04-21-2020,81,48,45,50
04-22-2020,84,130,123,136
04-23-2020,84,112,106,117
04-24-2020,88,240,228,252
04-25-2020,86,192,182,201
04-26-2020,83,102,96,107
04-13-2020,80,12,11,12
04-14-2020,80,12,11,12
04-15-2020,81,48,45,50
04-16-2020,83,90,85,94
04-17-2020,81,36,34,37
04-18-2020,83,84,79,88
04-19-2020,85,144,136,151
04-20-2020,83,108,102,113
04-21-2020,86,180,171,189
04-22-2020,81,44,41,46
04-23-2020,88,240,228,252
04-24-2020,89,260,247,273
04-25-2020,88,224,212,235
04-26-2020,90,300,285,315
