date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,80,30,28,31
04-15-2020,81,60,57,63
04-16-2020,83,98,93,102
04-17-2020,84,144,136,151
04-18-2020,83,126,119,132
04-19-2020,84,160,152,168
04-20-2020,84,154,146,161
04-21-2020,82,72,68,75
04-22-2020,87,234,222,245
04-23-2020,88,280,266,294
04-24-2020,84,150,142,157
04-25-2020,82,96,91,100
04-26-2020,89,306,290,321
04-13-2020,80,4,3,4
04-14-2020,80,12,11,12
04-15-2020,81,64,60,67
04-16-2020,81,50,47,52
04-17-2020,81,60,57,63
04-18-2020,82,70,66,73
04-19-2020,82,80,76,84
04-20-2020,83,108,102,113
04-21-2020,85,180,171,189
04-22-2020,84,132,125,138
04-23-2020,85,168,159,176
04-24-2020,80,26,24,27
04-25-2020,83,112,106,117
04-26-2020,87,240,228,252
