date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,32,30,33
04-14-2020,80,40,38,42
04-15-2020,80,48,45,50
04-16-2020,80,28,26,29
04-17-2020,82,128,121,134
04-18-2020,81,90,85,94
04-19-2020,81,60,57,63
04-20-2020,80,44,41,46
04-21-2020,82,120,114,126
04-22-2020,81,78,74,81
04-23-2020,84,224,212,235
04-24-2020,84,210,199,220
04-25-2020,80,32,30,33
04-26-2020,84,204,193,214
04-13-2020,80,36,34,37
04-14-2020,80,6,5,6
04-15-2020,80,48,45,50
04-16-2020,81,50,47,52
04-17-2020,80,36,34,37
04-18-2020,82,126,119,132
04-19-2020,80,32,30,33
04-20-2020,82,144,136,151
04-21-2020,81,80,76,84
04-22-2020,83,176,167,184
04-23-2020,80,24,22,25
04-24-2020,85,260,247,273
04-25-2020,82,112,106,117
04-26-2020,81,90,85,94
