date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,8,7,8
04-14-2020,81,40,38,42
04-15-2020,83,120,114,126
04-16-2020,82,70,66,73
04-17-2020,84,160,152,168
04-18-2020,84,162,153,170
04-19-2020,82,100,95,105
04-20-2020,82,88,83,92
04-21-2020,84,144,136,151
04-22-2020,80,26,24,27
04-23-2020,87,252,239,264
04-24-2020,80,30,28,31
04-25-2020,87,256,243,268
04-26-2020,81,68,64,71
04-13-2020,81,36,34,37
04-14-2020,80,18,17,18
04-15-2020,82,72,68,75
04-16-2020,80,20,19,21
04-17-2020,81,48,45,50
04-18-2020,80,14,13,14
04-19-2020,80,16,15,16
04-20-2020,80,18,17,18
04-21-2020,82,100,95,105
04-22-2020,86,220,209,231
04-23-2020,84,144,136,151
04-24-2020,80,26,24,27
04-25-2020,87,252,239,264
04-26-2020,86,240,228,252
