date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,32,30,33
04-14-2020,81,60,57,63
04-15-2020,81,84,79,88
04-16-2020,82,126,119,132
04-17-2020,83,144,136,151
04-18-2020,80,36,34,37
04-19-2020,81,60,57,63
04-20-2020,82,110,104,115
04-21-2020,81,72,68,75
04-22-2020,86,260,247,273
04-23-2020,81,84,79,88
04-24-2020,84,180,171,189
04-25-2020,84,192,182,201
04-26-2020,82,102,96,107
04-13-2020,80,32,30,33
04-14-2020,80,30,28,31
04-15-2020,80,40,38,42
04-16-2020,82,100,95,105
04-17-2020,81,48,45,50
04-18-2020,80,42,39,44
04-19-2020,80,16,15,16
04-20-2020,80,18,17,18
04-21-2020,82,100,95,105
04-22-2020,83,154,146,161
04-23-2020,85,216,205,226
04-24-2020,84,182,172,191
04-25-2020,81,56,53,58
04-26-2020,87,300,285,315
