date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,48,45,50
04-14-2020,83,80,76,84
04-15-2020,81,36,34,37
04-16-2020,81,42,39,44
04-17-2020,86,144,136,151
04-18-2020,84,108,102,113
04-19-2020,88,200,190,210
04-20-2020,86,154,146,161
04-21-2020,88,192,182,201
04-22-2020,91,260,247,273
04-23-2020,83,84,79,88
04-24-2020,89,210,199,220
04-25-2020,85,128,121,134
04-26-2020,88,204,193,214
04-13-2020,81,28,26,29
04-14-2020,81,36,34,37
04-15-2020,82,48,45,50
04-16-2020,84,100,95,105
04-17-2020,82,60,57,63
04-18-2020,83,84,79,88
04-19-2020,84,96,91,100
04-20-2020,82,54,51,56
04-21-2020,83,80,76,84
04-22-2020,86,154,146,161
04-23-2020,89,216,205,226
04-24-2020,81,26,24,27
04-25-2020,88,196,186,205
04-26-2020,87,180,171,189
