date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,81,20,19,21
04-15-2020,86,108,102,113
04-16-2020,83,56,53,58
04-17-2020,83,64,60,67
04-18-2020,86,108,102,113
04-19-2020,89,160,152,168
04-20-2020,81,22,20,23
04-21-2020,94,240,228,252
04-22-2020,83,52,49,54
04-23-2020,93,224,212,235
04-24-2020,85,90,85,94
04-25-2020,81,32,30,33
04-26-2020,88,136,129,142
04-13-2020,80,16,15,16
04-14-2020,81,30,28,31
04-15-2020,81,24,22,25
04-16-2020,85,100,95,105
04-17-2020,82,48,45,50
04-18-2020,85,98,93,102
04-19-2020,82,48,45,50
04-20-2020,89,162,153,170
04-21-2020,88,140,133,147
04-22-2020,81,22,20,23
04-23-2020,81,24,22,25
04-24-2020,89,156,148,163
04-25-2020,89,168,159,176
04-26-2020,92,210,199,220
