date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,64,60,67
04-14-2020,80,10,9,10
04-15-2020,81,120,114,126
04-16-2020,81,126,119,132
04-17-2020,80,80,76,84
04-18-2020,81,108,102,113
04-19-2020,81,120,114,126
04-20-2020,82,198,188,207
04-21-2020,80,72,68,75
04-22-2020,81,156,148,163
04-23-2020,81,112,106,117
04-24-2020,81,150,142,157
04-25-2020,82,224,212,235
04-26-2020,80,34,32,35
04-13-2020,80,24,22,25
04-14-2020,80,18,17,18
04-15-2020,80,32,30,33
04-16-2020,80,80,76,84
04-17-2020,80,60,57,63
04-18-2020,81,140,133,147
04-19-2020,80,16,15,16
04-20-2020,80,36,34,37
04-21-2020,82,180,171,189
04-22-2020,81,154,146,161
04-23-2020,81,168,159,176
04-24-2020,81,156,148,163
04-25-2020,80,84,79,88
04-26-2020,82,180,171,189
