date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,32,30,33
04-14-2020,81,40,38,42
04-15-2020,82,84,79,88
04-16-2020,83,98,93,102
04-17-2020,81,32,30,33
04-18-2020,86,180,171,189
04-19-2020,82,80,76,84
04-20-2020,80,22,20,23
04-21-2020,85,168,159,176
04-22-2020,83,104,98,109
04-23-2020,83,112,106,117
04-24-2020,88,240,228,252
04-25-2020,82,64,60,67
04-26-2020,87,204,193,214
04-13-2020,81,36,34,37
04-14-2020,80,6,5,6
04-15-2020,81,48,45,50
04-16-2020,82,70,66,73
04-17-2020,83,96,91,100
04-18-2020,80,14,13,14
04-19-2020,85,144,136,151
04-20-2020,80,18,17,18
04-21-2020,82,80,76,84
04-22-2020,87,220,209,231
04-23-2020,84,120,114,126
04-24-2020,89,260,247,273
04-25-2020,82,84,79,88
04-26-2020,90,300,285,315
