date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,56,53,58
04-14-2020,82,70,66,73
04-15-2020,84,108,102,113
04-16-2020,85,126,119,132
04-17-2020,81,32,30,33
04-18-2020,85,126,119,132
04-19-2020,85,140,133,147
04-20-2020,83,88,83,92
04-21-2020,82,72,68,75
04-22-2020,85,130,123,136
04-23-2020,87,196,186,205
04-24-2020,87,180,171,189
04-25-2020,91,288,273,302
04-26-2020,84,102,96,107
04-13-2020,80,16,15,16
04-14-2020,82,54,51,56
04-15-2020,82,56,53,58
04-16-2020,83,80,76,84
04-17-2020,82,72,68,75
04-18-2020,85,140,133,147
04-19-2020,86,160,152,168
04-20-2020,81,36,34,37
04-21-2020,83,100,95,105
04-22-2020,82,66,62,69
04-23-2020,80,24,22,25
04-24-2020,85,130,123,136
04-25-2020,87,196,186,205
04-26-2020,88,210,199,220
