date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,40,38,42
04-14-2020,85,80,76,84
04-15-2020,80,12,11,12
04-16-2020,81,28,26,29
04-17-2020,89,128,121,134
04-18-2020,88,126,119,132
04-19-2020,88,120,114,126
04-20-2020,92,176,167,184
04-21-2020,88,120,114,126
04-22-2020,96,234,222,245
04-23-2020,89,140,133,147
04-24-2020,90,150,142,157
04-25-2020,102,320,304,336
04-26-2020,104,340,323,357
04-13-2020,82,40,38,42
04-14-2020,81,24,22,25
04-15-2020,80,8,7,8
04-16-2020,85,80,76,84
04-17-2020,81,24,22,25
04-18-2020,86,98,93,102
04-19-2020,91,160,152,168
04-20-2020,91,162,153,170
04-21-2020,89,140,133,147
04-22-2020,95,220,209,231
04-23-2020,97,240,228,252
04-24-2020,89,130,123,136
04-25-2020,89,140,133,147
04-26-2020,94,210,199,220
