date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,8,7,8
04-14-2020,90,50,47,52
04-15-2020,103,108,102,113
04-16-2020,95,70,66,73
04-17-2020,104,112,106,117
04-18-2020,111,144,136,151
04-19-2020,97,80,76,84
04-20-2020,118,176,167,184
04-21-2020,95,72,68,75
04-22-2020,125,208,197,218
04-23-2020,92,56,53,58
04-24-2020,86,30,28,31
04-25-2020,121,192,182,201
04-26-2020,131,238,226,249
04-13-2020,82,12,11,12
04-14-2020,85,24,22,25
04-15-2020,83,16,15,16
04-16-2020,99,90,85,94
04-17-2020,100,96,91,100
04-18-2020,95,70,66,73
04-19-2020,100,96,91,100
04-20-2020,91,54,51,56
04-21-2020,101,100,95,105
04-22-2020,113,154,146,161
04-23-2020,106,120,114,126
04-24-2020,91,52,49,54
04-25-2020,134,252,239,264
04-26-2020,145,300,285,315
