date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,86,40,38,42
04-14-2020,96,100,95,105
04-15-2020,81,12,11,12
04-16-2020,96,98,93,102
04-17-2020,106,160,152,168
04-18-2020,82,18,17,18
04-19-2020,109,180,171,189
04-20-2020,105,154,146,161
04-21-2020,115,216,205,226
04-22-2020,96,104,98,109
04-23-2020,98,112,106,117
04-24-2020,104,150,142,157
04-25-2020,121,256,243,268
04-26-2020,113,204,193,214
04-13-2020,85,32,30,33
04-14-2020,85,36,34,37
04-15-2020,81,8,7,8
04-16-2020,83,20,19,21
04-17-2020,89,60,57,63
04-18-2020,100,126,119,132
04-19-2020,100,128,121,134
04-20-2020,94,90,85,94
04-21-2020,86,40,38,42
04-22-2020,115,220,209,231
04-23-2020,115,216,205,226
04-24-2020,88,52,49,54
04-25-2020,98,112,106,117
04-26-2020,99,120,114,126
