date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,48,45,50
04-14-2020,83,90,85,94
04-15-2020,83,108,102,113
04-16-2020,80,14,13,14
04-17-2020,83,112,106,117
04-18-2020,81,36,34,37
04-19-2020,83,100,95,105
04-20-2020,84,132,125,138
04-21-2020,82,72,68,75
04-22-2020,87,208,197,218
04-23-2020,82,84,79,88
04-24-2020,84,120,114,126
04-25-2020,81,32,30,33
04-26-2020,83,102,96,107
04-13-2020,80,4,3,4
04-14-2020,80,18,17,18
04-15-2020,81,56,53,58
04-16-2020,82,60,57,63
04-17-2020,82,84,79,88
04-18-2020,84,140,133,147
04-19-2020,84,144,136,151
04-20-2020,84,144,136,151
04-21-2020,83,100,95,105
04-22-2020,85,176,167,184
04-23-2020,85,168,159,176
04-24-2020,82,78,74,81
04-25-2020,88,252,239,264
04-26-2020,84,120,114,126
