date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,64,60,67
04-14-2020,81,60,57,63
04-15-2020,81,72,68,75
04-16-2020,82,98,93,102
04-17-2020,82,128,121,134
04-18-2020,81,54,51,56
04-19-2020,81,80,76,84
04-20-2020,83,154,146,161
04-21-2020,80,48,45,50
04-22-2020,82,130,123,136
04-23-2020,81,56,53,58
04-24-2020,82,120,114,126
04-25-2020,81,64,60,67
04-26-2020,80,34,32,35
04-13-2020,80,36,34,37
04-14-2020,80,42,39,44
04-15-2020,80,24,22,25
04-16-2020,81,50,47,52
04-17-2020,81,84,79,88
04-18-2020,81,70,66,73
04-19-2020,81,96,91,100
04-20-2020,83,162,153,170
04-21-2020,82,120,114,126
04-22-2020,84,198,188,207
04-23-2020,81,96,91,100
04-24-2020,81,78,74,81
04-25-2020,82,140,133,147
04-26-2020,84,210,199,220
