date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,32,30,33
04-14-2020,82,20,19,21
04-15-2020,82,24,22,25
04-16-2020,94,140,133,147
04-17-2020,81,16,15,16
04-18-2020,83,36,34,37
04-19-2020,94,140,133,147
04-20-2020,102,220,209,231
04-21-2020,92,120,114,126
04-22-2020,93,130,123,136
04-23-2020,108,280,266,294
04-24-2020,101,210,199,220
04-25-2020,92,128,121,134
04-26-2020,104,238,226,249
04-13-2020,83,36,34,37
04-14-2020,84,42,39,44
04-15-2020,82,24,22,25
04-16-2020,87,70,66,73
04-17-2020,81,12,11,12
04-18-2020,81,14,13,14
04-19-2020,86,64,60,67
04-20-2020,83,36,34,37
04-21-2020,82,20,19,21
04-22-2020,86,66,62,69
04-23-2020,104,240,228,252
04-24-2020,98,182,172,191
04-25-2020,105,252,239,264
04-26-2020,104,240,228,252
