date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,48,45,50
04-14-2020,80,20,19,21
04-15-2020,81,120,114,126
04-16-2020,81,140,133,147
04-17-2020,81,112,106,117
04-18-2020,80,18,17,18
04-19-2020,81,160,152,168
04-20-2020,80,66,62,69
04-21-2020,81,120,114,126
04-22-2020,82,260,247,273
04-23-2020,81,140,133,147
04-24-2020,82,240,228,252
04-25-2020,81,128,121,134
04-26-2020,81,170,161,178
04-13-2020,80,8,7,8
04-14-2020,80,42,39,44
04-15-2020,80,48,45,50
04-16-2020,80,10,9,10
04-17-2020,80,24,22,25
04-18-2020,80,28,26,29
04-19-2020,81,160,152,168
04-20-2020,81,90,85,94
04-21-2020,80,40,38,42
04-22-2020,81,154,146,161
04-23-2020,81,144,136,151
04-24-2020,82,208,197,218
04-25-2020,81,140,133,147
04-26-2020,81,90,85,94
