date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,48,45,50
04-14-2020,80,40,38,42
04-15-2020,82,120,114,126
04-16-2020,81,98,93,102
04-17-2020,80,32,30,33
04-18-2020,81,72,68,75
04-19-2020,82,120,114,126
04-20-2020,82,110,104,115
04-21-2020,80,48,45,50
04-22-2020,80,52,49,54
04-23-2020,83,168,159,176
04-24-2020,84,270,256,283
04-25-2020,84,256,243,268
04-26-2020,83,204,193,214
04-13-2020,80,20,19,21
04-14-2020,80,48,45,50
04-15-2020,80,48,45,50
04-16-2020,81,100,95,105
04-17-2020,81,60,57,63
04-18-2020,82,126,119,132
04-19-2020,82,128,121,134
04-20-2020,83,180,171,189
04-21-2020,83,180,171,189
04-22-2020,81,66,62,69
04-23-2020,80,48,45,50
04-24-2020,83,208,197,218
04-25-2020,82,140,133,147
04-26-2020,82,120,114,126
