date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,8,7,8
04-14-2020,85,90,85,94
04-15-2020,87,120,114,126
04-16-2020,86,98,93,102
04-17-2020,89,144,136,151
04-18-2020,90,162,153,170
04-19-2020,82,40,38,42
04-20-2020,82,44,41,46
04-21-2020,87,120,114,126
04-22-2020,96,260,247,273
04-23-2020,81,28,26,29
04-24-2020,83,60,57,63
04-25-2020,92,192,182,201
04-26-2020,82,34,32,35
04-13-2020,81,24,22,25
04-14-2020,81,24,22,25
04-15-2020,85,80,76,84
04-16-2020,83,50,47,52
04-17-2020,83,48,45,50
04-18-2020,85,84,79,88
04-19-2020,84,64,60,67
04-20-2020,85,90,85,94
04-21-2020,86,100,95,105
04-22-2020,91,176,167,184
04-23-2020,84,72,68,75
04-24-2020,96,260,247,273
04-25-2020,81,28,26,29
04-26-2020,95,240,228,252
