date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,64,60,67
04-14-2020,80,40,38,42
04-15-2020,80,12,11,12
04-16-2020,82,126,119,132
04-17-2020,81,80,76,84
04-18-2020,81,90,85,94
04-19-2020,81,60,57,63
04-20-2020,80,22,20,23
04-21-2020,82,120,114,126
04-22-2020,80,26,24,27
04-23-2020,83,168,159,176
04-24-2020,80,30,28,31
04-25-2020,81,64,60,67
04-26-2020,80,34,32,35
04-13-2020,80,12,11,12
04-14-2020,80,54,51,56
04-15-2020,80,24,22,25
04-16-2020,81,60,57,63
04-17-2020,81,108,102,113
04-18-2020,81,98,93,102
04-19-2020,80,16,15,16
04-20-2020,81,108,102,113
04-21-2020,83,180,171,189
04-22-2020,81,88,83,92
04-23-2020,82,120,114,126
04-24-2020,84,260,247,273
04-25-2020,83,196,186,205
04-26-2020,82,150,142,157
