date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,64,60,67
04-14-2020,83,90,85,94
04-15-2020,84,96,91,100
04-16-2020,84,112,106,117
04-17-2020,86,144,136,151
04-18-2020,82,54,51,56
04-19-2020,83,80,76,84
04-20-2020,83,88,83,92
04-21-2020,84,96,91,100
04-22-2020,84,104,98,109
04-23-2020,83,84,79,88
04-24-2020,81,30,28,31
04-25-2020,82,64,60,67
04-26-2020,88,204,193,214
04-13-2020,80,4,3,4
04-14-2020,81,36,34,37
04-15-2020,81,24,22,25
04-16-2020,80,20,19,21
04-17-2020,81,36,34,37
04-18-2020,83,84,79,88
04-19-2020,82,48,45,50
04-20-2020,86,144,136,151
04-21-2020,81,40,38,42
04-22-2020,89,220,209,231
04-23-2020,82,48,45,50
04-24-2020,87,182,172,191
04-25-2020,87,168,159,176
04-26-2020,81,30,28,31
