date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,86,80,76,84
04-14-2020,82,30,28,31
04-15-2020,86,72,68,75
04-16-2020,91,140,133,147
04-17-2020,86,80,76,84
04-18-2020,86,72,68,75
04-19-2020,86,80,76,84
04-20-2020,89,110,104,115
04-21-2020,86,72,68,75
04-22-2020,97,208,197,218
04-23-2020,89,112,106,117
04-24-2020,95,180,171,189
04-25-2020,107,320,304,336
04-26-2020,100,238,226,249
04-13-2020,81,20,19,21
04-14-2020,82,24,22,25
04-15-2020,81,16,15,16
04-16-2020,83,40,38,42
04-17-2020,81,12,11,12
04-18-2020,91,140,133,147
04-19-2020,82,32,30,33
04-20-2020,92,144,136,151
04-21-2020,85,60,57,63
04-22-2020,96,198,188,207
04-23-2020,96,192,182,201
04-24-2020,86,78,74,81
04-25-2020,84,56,53,58
04-26-2020,100,240,228,252
