date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,56,53,58
04-14-2020,88,90,85,94
04-15-2020,83,36,34,37
04-16-2020,87,84,79,88
04-17-2020,88,96,91,100
04-18-2020,89,108,102,113
04-19-2020,96,180,171,189
04-20-2020,98,198,188,207
04-21-2020,101,240,228,252
04-22-2020,89,104,98,109
04-23-2020,90,112,106,117
04-24-2020,104,270,256,283
04-25-2020,100,224,212,235
04-26-2020,101,238,226,249
04-13-2020,82,32,30,33
04-14-2020,83,36,34,37
04-15-2020,82,24,22,25
04-16-2020,86,70,66,73
04-17-2020,84,48,45,50
04-18-2020,91,126,119,132
04-19-2020,94,160,152,168
04-20-2020,93,144,136,151
04-21-2020,81,20,19,21
04-22-2020,94,154,146,161
04-23-2020,88,96,91,100
04-24-2020,84,52,49,54
04-25-2020,85,56,53,58
04-26-2020,90,120,114,126
