date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,16,15,16
04-14-2020,87,90,85,94
04-15-2020,80,12,11,12
04-16-2020,82,28,26,29
04-17-2020,82,32,30,33
04-18-2020,94,180,171,189
04-19-2020,89,120,114,126
04-20-2020,89,110,104,115
04-21-2020,83,48,45,50
04-22-2020,94,182,172,191
04-23-2020,96,196,186,205
04-24-2020,97,210,199,220
04-25-2020,90,128,121,134
04-26-2020,99,238,226,249
04-13-2020,80,4,3,4
04-14-2020,84,54,51,56
04-15-2020,84,56,53,58
04-16-2020,87,90,85,94
04-17-2020,82,36,34,37
04-18-2020,84,56,53,58
04-19-2020,81,16,15,16
04-20-2020,81,18,17,18
04-21-2020,93,160,152,168
04-22-2020,96,198,188,207
04-23-2020,81,24,22,25
04-24-2020,86,78,74,81
04-25-2020,84,56,53,58
04-26-2020,89,120,114,126
