date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,72,68,75
04-14-2020,81,20,19,21
04-15-2020,83,60,57,63
04-16-2020,80,14,13,14
04-17-2020,90,160,152,168
04-18-2020,83,54,51,56
04-19-2020,83,60,57,63
04-20-2020,84,66,62,69
04-21-2020,89,144,136,151
04-22-2020,93,208,197,218
04-23-2020,94,224,212,235
04-24-2020,93,210,199,220
04-25-2020,97,256,243,268
04-26-2020,100,306,290,321
04-13-2020,80,12,11,12
04-14-2020,83,48,45,50
04-15-2020,83,56,53,58
04-16-2020,81,30,28,31
04-17-2020,83,60,57,63
04-18-2020,81,28,26,29
04-19-2020,87,112,106,117
04-20-2020,91,180,171,189
04-21-2020,86,100,95,105
04-22-2020,91,176,167,184
04-23-2020,87,120,114,126
04-24-2020,90,156,148,163
04-25-2020,85,84,79,88
04-26-2020,89,150,142,157
