date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,80,76,84
04-14-2020,80,40,38,42
04-15-2020,80,24,22,25
04-16-2020,81,112,106,117
04-17-2020,81,128,121,134
04-18-2020,81,72,68,75
04-19-2020,83,200,190,210
04-20-2020,81,66,62,69
04-21-2020,82,144,136,151
04-22-2020,81,130,123,136
04-23-2020,82,168,159,176
04-24-2020,82,180,171,189
04-25-2020,82,192,182,201
04-26-2020,83,238,226,249
04-13-2020,80,20,19,21
04-14-2020,80,42,39,44
04-15-2020,80,64,60,67
04-16-2020,81,70,66,73
04-17-2020,81,72,68,75
04-18-2020,80,56,53,58
04-19-2020,80,64,60,67
04-20-2020,82,162,153,170
04-21-2020,81,80,76,84
04-22-2020,81,88,83,92
04-23-2020,81,96,91,100
04-24-2020,83,234,222,245
04-25-2020,84,280,266,294
04-26-2020,82,180,171,189
