date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,48,45,50
04-14-2020,86,80,76,84
04-15-2020,89,120,114,126
04-16-2020,84,56,53,58
04-17-2020,88,112,106,117
04-18-2020,84,54,51,56
04-19-2020,86,80,76,84
04-20-2020,88,110,104,115
04-21-2020,91,144,136,151
04-22-2020,90,130,123,136
04-23-2020,95,196,186,205
04-24-2020,91,150,142,157
04-25-2020,89,128,121,134
04-26-2020,93,170,161,178
04-13-2020,81,16,15,16
04-14-2020,83,42,39,44
04-15-2020,81,16,15,16
04-16-2020,87,90,85,94
04-17-2020,83,48,45,50
04-18-2020,89,126,119,132
04-19-2020,81,16,15,16
04-20-2020,85,72,68,75
04-21-2020,92,160,152,168
04-22-2020,97,220,209,231
04-23-2020,94,192,182,201
04-24-2020,88,104,98,109
04-25-2020,90,140,133,147
04-26-2020,91,150,142,157
