date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,72,68,75
04-14-2020,81,70,66,73
04-15-2020,82,108,102,113
04-16-2020,82,126,119,132
04-17-2020,83,160,152,168
04-18-2020,82,90,85,94
04-19-2020,82,100,95,105
04-20-2020,80,22,20,23
04-21-2020,85,240,228,252
04-22-2020,81,78,74,81
04-23-2020,80,28,26,29
04-24-2020,82,90,85,94
04-25-2020,86,288,273,302
04-26-2020,86,272,258,285
04-13-2020,80,28,26,29
04-14-2020,80,18,17,18
04-15-2020,80,40,38,42
04-16-2020,80,30,28,31
04-17-2020,81,60,57,63
04-18-2020,81,70,66,73
04-19-2020,81,48,45,50
04-20-2020,82,90,85,94
04-21-2020,82,100,95,105
04-22-2020,83,176,167,184
04-23-2020,84,192,182,201
04-24-2020,82,104,98,109
04-25-2020,84,196,186,205
04-26-2020,80,30,28,31
