date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,48,45,50
04-14-2020,80,60,57,63
04-15-2020,80,72,68,75
04-16-2020,80,126,119,132
04-17-2020,80,16,15,16
04-18-2020,81,180,171,189
04-19-2020,80,60,57,63
04-20-2020,80,132,125,138
04-21-2020,80,72,68,75
04-22-2020,81,182,172,191
04-23-2020,80,168,159,176
04-24-2020,80,60,57,63
04-25-2020,81,224,212,235
04-26-2020,81,238,226,249
04-13-2020,80,36,34,37
04-14-2020,80,24,22,25
04-15-2020,80,48,45,50
04-16-2020,80,30,28,31
04-17-2020,80,60,57,63
04-18-2020,80,70,66,73
04-19-2020,80,144,136,151
04-20-2020,80,54,51,56
04-21-2020,81,180,171,189
04-22-2020,81,176,167,184
04-23-2020,80,48,45,50
04-24-2020,80,156,148,163
04-25-2020,80,168,159,176
04-26-2020,80,120,114,126
