HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,83.46,140,126,184,80.89,89.27,140 [126 - 184],83.46% [80.89% - 89.27%],05-12-2020
2,AL- DOTHAN,80.0,0,0,1,80.0,81.13,0 [0 - 1],80.0% [80.0% - 81.13%],05-12-2020
5,AL- HUNTSVILLE,82.0,14,14,23,80.8,86.33,14 [14 - 23],82.0% [80.8% - 86.33%],05-12-2020
6,AL- MOBILE,83.32,42,39,52,81.4,86.72,42 [39 - 52],83.32% [81.4% - 86.72%],05-12-2020
7,AL- MONTGOMERY,81.94,14,13,20,80.91,86.47,14 [13 - 20],81.94% [80.91% - 86.47%],05-12-2020
9,AL- TUSCALOOSA,82.91,14,14,18,81.4,87.52,14 [14 - 18],82.91% [81.4% - 87.52%],05-12-2020
11,AZ- MESA,93.33,140,127,168,85.86,107.83,140 [127 - 168],93.33% [85.86% - 107.83%],05-12-2020
12,AZ- PHOENIX,88.54,348,316,419,83.63,97.93,348 [316 - 419],88.54% [83.63% - 97.93%],05-12-2020
14,AZ- SUN CITY,85.54,21,20,26,82.35,91.48,21 [20 - 26],85.54% [82.35% - 91.48%],05-12-2020
15,AZ- TUCSON,86.61,87,79,106,82.22,94.06,87 [79 - 106],86.61% [82.22% - 94.06%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.92,19,16,30,80.21,83.15,19 [16 - 30],80.92% [80.21% - 83.15%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,82.27,0 [0 - 1],80.0% [80.0% - 82.27%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.71,0 [0 - 0],80.0% [80.0% - 80.71%],05-12-2020
23,CA- ORANGE CO.,85.8,224,203,285,82.22,94.85,224 [203 - 285],85.8% [82.22% - 94.85%],05-12-2020
25,CA- BAKERSFIELD,81.97,32,29,43,80.66,85.34,32 [29 - 43],81.97% [80.66% - 85.34%],05-12-2020
31,CA- CHICO,81.84,0,0,4,80.0,88.12,0 [0 - 4],81.84% [80.0% - 88.12%],05-12-2020
33,CA- CONTRA COSTA CO.,97.41,168,152,211,86.74,123.68,168 [152 - 211],97.41% [86.74% - 123.68%],05-12-2020
43,CA- FRESNO,83.81,42,38,54,81.1,89.77,42 [38 - 54],83.81% [81.1% - 89.77%],05-12-2020
56,CA- LOS ANGELES,85.24,652,590,832,82.02,93.54,652 [590 - 832],85.24% [82.02% - 93.54%],05-12-2020
58,CA- MODESTO,88.55,70,64,93,83.03,102.8,70 [64 - 93],88.55% [83.03% - 102.8%],05-12-2020
62,CA- NAPA,89.93,28,25,35,81.89,104.4,28 [25 - 35],89.93% [81.89% - 104.4%],05-12-2020
65,CA- ALAMEDA CO.,95.64,257,234,322,86.07,119.01,257 [234 - 322],95.64% [86.07% - 119.01%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,83.87,18,17,23,81.42,89.97,18 [17 - 23],83.87% [81.42% - 89.97%],05-12-2020
73,CA- REDDING,84.47,21,19,28,81.02,92.94,21 [19 - 28],84.47% [81.02% - 92.94%],05-12-2020
77,CA- SACRAMENTO,91.72,275,249,351,84.24,109.81,275 [249 - 351],91.72% [84.24% - 109.81%],05-12-2020
78,CA- SALINAS,90.48,35,32,47,83.78,106.48,35 [32 - 47],90.48% [83.78% - 106.48%],05-12-2020
79,CA- SAN BERNARDINO,86.54,187,170,242,82.49,96.9,187 [170 - 242],86.54% [82.49% - 96.9%],05-12-2020
80,CA- SAN DIEGO,89.05,315,285,403,83.37,103.43,315 [285 - 403],89.05% [83.37% - 103.43%],05-12-2020
81,CA- SAN FRANCISCO,89.24,225,204,282,83.61,103.02,225 [204 - 282],89.24% [83.61% - 103.02%],05-12-2020
82,CA- SAN JOSE,100.23,296,269,370,88.03,130.17,296 [269 - 370],100.23% [88.03% - 130.17%],05-12-2020
83,CA- SAN LUIS OBISPO,90.16,21,19,27,83.07,104.34,21 [19 - 27],90.16% [83.07% - 104.34%],05-12-2020
85,CA- SAN MATEO CO.,91.01,139,127,175,84.3,107.11,139 [127 - 175],91.01% [84.3% - 107.11%],05-12-2020
86,CA- SANTA BARBARA,86.14,28,25,37,82.48,96.15,28 [25 - 37],86.14% [82.48% - 96.15%],05-12-2020
87,CA- SANTA CRUZ,101.59,35,32,45,88.08,134.6,35 [32 - 45],101.59% [88.08% - 134.6%],05-12-2020
89,CA- SANTA ROSA,87.28,61,56,79,82.74,98.11,61 [56 - 79],87.28% [82.74% - 98.11%],05-12-2020
91,CA- STOCKTON,93.44,70,64,89,84.89,114.43,70 [64 - 89],93.44% [84.89% - 114.43%],05-12-2020
96,CA- VENTURA,87.44,56,51,72,82.73,98.75,56 [51 - 72],87.44% [82.73% - 98.75%],05-12-2020
101,CO- BOULDER,95.82,35,32,41,85.26,110.11,35 [32 - 41],95.82% [85.26% - 110.11%],05-12-2020
102,CO- COLORADO SPRINGS,91.39,56,51,67,83.77,104.25,56 [51 - 67],91.39% [83.77% - 104.25%],05-12-2020
103,CO- DENVER,94.68,347,311,404,84.86,108.51,347 [311 - 404],94.68% [84.86% - 108.51%],05-12-2020
104,CO- FORT COLLINS,87.85,21,20,26,83.29,96.74,21 [20 - 26],87.85% [83.29% - 96.74%],05-12-2020
105,CO- GRAND JUNCTION,93.5,47,42,55,83.54,105.25,47 [42 - 55],93.5% [83.54% - 105.25%],05-12-2020
106,CO- GREELEY,88.92,29,26,35,82.83,98.15,29 [26 - 35],88.92% [82.83% - 98.15%],05-12-2020
107,CO- PUEBLO,82.33,7,6,8,80.63,84.01,7 [6 - 8],82.33% [80.63% - 84.01%],05-12-2020
109,CT- BRIDGEPORT,105.92,194,179,237,92.86,141.71,194 [179 - 237],105.92% [92.86% - 141.71%],05-12-2020
110,CT- HARTFORD,91.2,174,156,228,84.18,112.19,174 [156 - 228],91.2% [84.18% - 112.19%],05-12-2020
111,CT- NEW HAVEN,95.26,265,243,337,87.14,121.02,265 [243 - 337],95.26% [87.14% - 121.02%],05-12-2020
112,DE- WILMINGTON,88.5,80,74,94,84.08,97.72,80 [74 - 94],88.5% [84.08% - 97.72%],05-12-2020
113,DC- WASHINGTON,108.34,828,759,929,94.32,128.99,828 [759 - 929],108.34% [94.32% - 128.99%],05-12-2020
115,FL- BRADENTON,82.49,0,0,3,81.27,87.76,0 [0 - 3],82.49% [81.27% - 87.76%],05-12-2020
116,FL- CLEARWATER,81.69,7,7,11,80.61,85.01,7 [7 - 11],81.69% [80.61% - 85.01%],05-12-2020
118,FL- FORT LAUDERDALE,82.77,109,99,145,81.06,88.09,109 [99 - 145],82.77% [81.06% - 88.09%],05-12-2020
119,FL- FORT MYERS,82.39,41,38,53,80.84,86.4,41 [38 - 53],82.39% [80.84% - 86.4%],05-12-2020
120,FL- GAINESVILLE,80.88,7,7,11,80.11,84.07,7 [7 - 11],80.88% [80.11% - 84.07%],05-12-2020
122,FL- HUDSON,82.39,14,13,16,80.56,85.35,14 [13 - 16],82.39% [80.56% - 85.35%],05-12-2020
123,FL- JACKSONVILLE,81.75,36,32,48,80.31,84.68,36 [32 - 48],81.75% [80.31% - 84.68%],05-12-2020
124,FL- LAKELAND,81.89,7,7,10,80.84,85.62,7 [7 - 10],81.89% [80.84% - 85.62%],05-12-2020
127,FL- MIAMI,82.66,130,118,175,81.06,88.12,130 [118 - 175],82.66% [81.06% - 88.12%],05-12-2020
129,FL- OCALA,81.27,7,6,10,80.0,85.04,7 [6 - 10],81.27% [80.0% - 85.04%],05-12-2020
130,FL- ORLANDO,81.59,75,69,103,80.71,85.09,75 [69 - 103],81.59% [80.71% - 85.09%],05-12-2020
131,FL- ORMOND BEACH,81.0,5,5,9,80.48,83.57,5 [5 - 9],81.0% [80.48% - 83.57%],05-12-2020
133,FL- PANAMA CITY,80.0,0,0,1,80.0,82.26,0 [0 - 1],80.0% [80.0% - 82.26%],05-12-2020
134,FL- PENSACOLA,81.31,14,12,18,80.0,83.92,14 [12 - 18],81.31% [80.0% - 83.92%],05-12-2020
137,FL- SARASOTA,81.64,7,7,11,80.83,84.64,7 [7 - 11],81.64% [80.83% - 84.64%],05-12-2020
139,FL- ST PETERSBURG,81.4,7,7,10,80.5,84.13,7 [7 - 10],81.4% [80.5% - 84.13%],05-12-2020
140,FL- TALLAHASSEE,82.09,28,24,40,80.04,85.71,28 [24 - 40],82.09% [80.04% - 85.71%],05-12-2020
141,FL- TAMPA,81.97,38,35,50,80.85,85.66,38 [35 - 50],81.97% [80.85% - 85.66%],05-12-2020
142,GA- ALBANY,91.83,56,50,65,82.16,101.45,56 [50 - 65],91.83% [82.16% - 101.45%],05-12-2020
144,GA- ATLANTA,93.38,808,733,1007,85.27,112.66,808 [733 - 1007],93.38% [85.27% - 112.66%],05-12-2020
145,GA- AUGUSTA,81.84,21,19,26,80.61,84.52,21 [19 - 26],81.84% [80.61% - 84.52%],05-12-2020
146,GA- COLUMBUS,83.95,21,20,26,81.59,88.5,21 [20 - 26],83.95% [81.59% - 88.5%],05-12-2020
147,GA- MACON,81.55,14,12,29,80.0,88.54,14 [12 - 29],81.55% [80.0% - 88.54%],05-12-2020
148,GA- ROME,90.15,35,32,46,82.73,109.23,35 [32 - 46],90.15% [82.73% - 109.23%],05-12-2020
149,GA- SAVANNAH,81.87,14,14,25,81.31,87.63,14 [14 - 25],81.87% [81.31% - 87.63%],05-12-2020
151,ID- BOISE,81.22,7,7,11,80.48,83.47,7 [7 - 11],81.22% [80.48% - 83.47%],05-12-2020
152,ID- IDAHO FALLS,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
154,IL- AURORA,115.53,97,88,115,94.42,152.3,97 [88 - 115],115.53% [94.42% - 152.3%],05-12-2020
155,IL- BLUE ISLAND,97.62,233,212,274,87.65,115.37,233 [212 - 274],97.62% [87.65% - 115.37%],05-12-2020
156,IL- CHICAGO,97.44,787,716,924,87.59,115.0,787 [716 - 924],97.44% [87.59% - 115.0%],05-12-2020
158,IL- ELGIN,120.04,228,208,269,97.5,160.94,228 [208 - 269],120.04% [97.5% - 160.94%],05-12-2020
161,IL- EVANSTON,104.66,312,284,367,90.8,129.46,312 [284 - 367],104.66% [90.8% - 129.46%],05-12-2020
163,IL- HINSDALE,105.83,147,134,174,91.0,132.18,147 [134 - 174],105.83% [91.0% - 132.18%],05-12-2020
164,IL- JOLIET,109.0,201,184,239,92.67,138.97,201 [184 - 239],109.0% [92.67% - 138.97%],05-12-2020
166,IL- MELROSE PARK,105.4,413,376,486,90.96,131.2,413 [376 - 486],105.4% [90.96% - 131.2%],05-12-2020
170,IL- PEORIA,85.25,54,49,67,81.83,92.1,54 [49 - 67],85.25% [81.83% - 92.1%],05-12-2020
171,IL- ROCKFORD,96.17,129,118,154,86.99,113.05,129 [118 - 154],96.17% [86.99% - 113.05%],05-12-2020
172,IL- SPRINGFIELD,82.22,30,26,44,80.47,87.78,30 [26 - 44],82.22% [80.47% - 87.78%],05-12-2020
173,IL- URBANA,84.12,25,22,30,81.15,88.76,25 [22 - 30],84.12% [81.15% - 88.76%],05-12-2020
175,IL- BLOOMINGTON,96.85,21,19,26,84.49,114.83,21 [19 - 26],96.85% [84.49% - 114.83%],05-12-2020
179,IN- EVANSVILLE,81.36,21,18,21,80.0,82.1,21 [18 - 21],81.36% [80.0% - 82.1%],05-12-2020
180,IN- FORT WAYNE,82.92,42,40,50,81.94,87.78,42 [40 - 50],82.92% [81.94% - 87.78%],05-12-2020
181,IN- GARY,106.89,209,192,246,92.62,132.39,209 [192 - 246],106.89% [92.62% - 132.39%],05-12-2020
183,IN- INDIANAPOLIS,96.7,552,492,676,84.61,117.34,552 [492 - 676],96.7% [84.61% - 117.34%],05-12-2020
184,IN- LAFAYETTE,85.83,21,18,29,80.0,95.11,21 [18 - 29],85.83% [80.0% - 95.11%],05-12-2020
185,IN- MUNCIE,90.29,21,18,24,80.0,97.66,21 [18 - 24],90.29% [80.0% - 97.66%],05-12-2020
186,IN- MUNSTER,104.53,147,136,170,91.96,126.19,147 [136 - 170],104.53% [91.96% - 126.19%],05-12-2020
187,IN- SOUTH BEND,90.11,77,71,93,84.25,100.73,77 [71 - 93],90.11% [84.25% - 100.73%],05-12-2020
188,IN- TERRE HAUTE,80.0,0,0,3,80.0,87.98,0 [0 - 3],80.0% [80.0% - 87.98%],05-12-2020
190,IA- CEDAR RAPIDS,93.64,77,69,94,84.48,109.39,77 [69 - 94],93.64% [84.48% - 109.39%],05-12-2020
191,IA- DAVENPORT,83.21,43,38,51,81.08,86.66,43 [38 - 51],83.21% [81.08% - 86.66%],05-12-2020
192,IA- DES MOINES,85.87,108,98,140,82.22,95.7,108 [98 - 140],85.87% [82.22% - 95.7%],05-12-2020
193,IA- DUBUQUE,86.28,18,17,21,82.75,93.76,18 [17 - 21],86.28% [82.75% - 93.76%],05-12-2020
194,IA- IOWA CITY,86.98,66,59,84,82.68,97.86,66 [59 - 84],86.98% [82.68% - 97.86%],05-12-2020
195,IA- MASON CITY,80.36,0,0,2,80.0,82.46,0 [0 - 2],80.36% [80.0% - 82.46%],05-12-2020
196,IA- SIOUX CITY,82.41,11,9,19,81.06,89.01,11 [9 - 19],82.41% [81.06% - 89.01%],05-12-2020
197,IA- WATERLOO,84.22,10,8,16,81.88,94.4,10 [8 - 16],84.22% [81.88% - 94.4%],05-12-2020
200,KS- TOPEKA,83.38,28,26,38,81.23,89.76,28 [26 - 38],83.38% [81.23% - 89.76%],05-12-2020
201,KS- WICHITA,81.62,48,43,63,80.55,84.91,48 [43 - 63],81.62% [80.55% - 84.91%],05-12-2020
203,KY- COVINGTON,87.26,35,31,44,80.0,94.44,35 [31 - 44],87.26% [80.0% - 94.44%],05-12-2020
204,KY- LEXINGTON,83.85,98,87,143,80.77,94.18,98 [87 - 143],83.85% [80.77% - 94.18%],05-12-2020
205,KY- LOUISVILLE,85.96,140,126,182,81.66,95.64,140 [126 - 182],85.96% [81.66% - 95.64%],05-12-2020
207,KY- OWENSBORO,80.0,0,0,2,80.0,88.47,0 [0 - 2],80.0% [80.0% - 88.47%],05-12-2020
208,KY- PADUCAH,80.26,0,0,0,80.0,80.43,0 [0 - 0],80.26% [80.0% - 80.43%],05-12-2020
209,LA- ALEXANDRIA,80.0,0,0,0,80.0,81.21,0 [0 - 0],80.0% [80.0% - 81.21%],05-12-2020
210,LA- BATON ROUGE,83.22,35,31,46,80.6,88.71,35 [31 - 46],83.22% [80.6% - 88.71%],05-12-2020
212,LA- HOUMA,83.57,7,7,11,80.0,90.7,7 [7 - 11],83.57% [80.0% - 90.7%],05-12-2020
213,LA- LAFAYETTE,80.57,0,0,3,80.0,82.45,0 [0 - 3],80.57% [80.0% - 82.45%],05-12-2020
214,LA- LAKE CHARLES,80.0,0,0,0,80.0,81.39,0 [0 - 0],80.0% [80.0% - 81.39%],05-12-2020
216,LA- METAIRIE,90.74,43,38,54,82.77,105.42,43 [38 - 54],90.74% [82.77% - 105.42%],05-12-2020
217,LA- MONROE,80.0,0,0,0,80.0,81.3,0 [0 - 0],80.0% [80.0% - 81.3%],05-12-2020
218,LA- NEW ORLEANS,87.27,73,65,90,82.1,96.95,73 [65 - 90],87.27% [82.1% - 96.95%],05-12-2020
219,LA- SHREVEPORT,80.58,0,0,3,80.0,81.61,0 [0 - 3],80.58% [80.0% - 81.61%],05-12-2020
220,LA- SLIDELL,93.61,28,25,35,85.36,112.94,28 [25 - 35],93.61% [85.36% - 112.94%],05-12-2020
221,ME- BANGOR,80.36,0,0,1,80.0,81.47,0 [0 - 1],80.36% [80.0% - 81.47%],05-12-2020
222,ME- PORTLAND,82.79,35,32,42,80.99,86.13,35 [32 - 42],82.79% [80.99% - 86.13%],05-12-2020
223,MD- BALTIMORE,102.62,819,746,965,90.2,125.57,819 [746 - 965],102.62% [90.2% - 125.57%],05-12-2020
225,MD- SALISBURY,94.47,71,63,82,83.74,107.43,71 [63 - 82],94.47% [83.74% - 107.43%],05-12-2020
226,MD- TAKOMA PARK,133.73,365,337,409,108.36,171.76,365 [337 - 409],133.73% [108.36% - 171.76%],05-12-2020
227,MA- BOSTON,96.18,876,797,1065,86.78,116.64,876 [797 - 1065],96.18% [86.78% - 116.64%],05-12-2020
230,MA- SPRINGFIELD,90.96,84,77,101,84.31,103.61,84 [77 - 101],90.96% [84.31% - 103.61%],05-12-2020
231,MA- WORCESTER,96.57,133,122,163,86.7,118.12,133 [122 - 163],96.57% [86.7% - 118.12%],05-12-2020
232,MI- ANN ARBOR,84.31,61,55,75,81.13,89.87,61 [55 - 75],84.31% [81.13% - 89.87%],05-12-2020
233,MI- DEARBORN,83.57,23,21,29,81.09,88.15,23 [21 - 29],83.57% [81.09% - 88.15%],05-12-2020
234,MI- DETROIT,84.01,84,75,103,81.14,89.42,84 [75 - 103],84.01% [81.14% - 89.42%],05-12-2020
235,MI- FLINT,83.07,14,13,18,80.98,86.41,14 [13 - 18],83.07% [80.98% - 86.41%],05-12-2020
236,MI- GRAND RAPIDS,81.05,7,6,9,80.13,82.08,7 [6 - 9],81.05% [80.13% - 82.08%],05-12-2020
238,MI- KALAMAZOO,80.0,0,0,1,80.0,81.69,0 [0 - 1],80.0% [80.0% - 81.69%],05-12-2020
239,MI- LANSING,80.82,0,0,5,80.0,84.56,0 [0 - 5],80.82% [80.0% - 84.56%],05-12-2020
240,MI- MARQUETTE,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
242,MI- MUSKEGON,80.42,0,0,1,80.0,82.61,0 [0 - 1],80.42% [80.0% - 82.61%],05-12-2020
243,MI- PETOSKEY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
244,MI- PONTIAC,84.28,21,19,26,81.27,89.8,21 [19 - 26],84.28% [81.27% - 89.8%],05-12-2020
245,MI- ROYAL OAK,83.2,35,32,43,80.98,87.34,35 [32 - 43],83.2% [80.98% - 87.34%],05-12-2020
246,MI- SAGINAW,80.34,0,0,1,80.0,81.15,0 [0 - 1],80.34% [80.0% - 81.15%],05-12-2020
248,MI- ST JOSEPH,83.0,0,0,0,80.0,82.98,0 [0 - 0],83.0% [80.0% - 82.98%],05-12-2020
249,MI- TRAVERSE CITY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
250,MN- DULUTH,80.75,0,0,3,80.52,82.84,0 [0 - 3],80.75% [80.52% - 82.84%],05-12-2020
251,MN- MINNEAPOLIS,87.76,358,324,443,83.19,98.24,358 [324 - 443],87.76% [83.19% - 98.24%],05-12-2020
253,MN- ROCHESTER,84.32,56,51,71,81.04,89.08,56 [51 - 71],84.32% [81.04% - 89.08%],05-12-2020
254,MN- ST CLOUD,86.38,21,19,27,81.7,94.71,21 [19 - 27],86.38% [81.7% - 94.71%],05-12-2020
256,MN- ST PAUL,90.32,122,112,151,84.99,103.28,122 [112 - 151],90.32% [84.99% - 103.28%],05-12-2020
257,MS- GULFPORT,90.94,42,39,49,83.62,103.67,42 [39 - 49],90.94% [83.62% - 103.67%],05-12-2020
258,MS- HATTIESBURG,87.06,42,36,52,80.41,95.12,42 [36 - 52],87.06% [80.41% - 95.12%],05-12-2020
259,MS- JACKSON,84.16,91,82,133,81.18,94.62,91 [82 - 133],84.16% [81.18% - 94.62%],05-12-2020
260,MS- MERIDIAN,80.0,0,0,1,80.0,82.66,0 [0 - 1],80.0% [80.0% - 82.66%],05-12-2020
261,MS- OXFORD,80.0,0,0,5,80.0,90.97,0 [0 - 5],80.0% [80.0% - 90.97%],05-12-2020
262,MS- TUPELO,81.63,7,6,19,80.0,90.12,7 [6 - 19],81.63% [80.0% - 90.12%],05-12-2020
263,MO- CAPE GIRARDEAU,80.21,0,0,0,80.0,80.29,0 [0 - 0],80.21% [80.0% - 80.29%],05-12-2020
