HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,83.44,146,131,181,80.97,87.86,146 [131 - 181],83.44% [80.97% - 87.86%],05-12-2020
2,AL- DOTHAN,80.0,0,0,1,80.0,80.6,0 [0 - 1],80.0% [80.0% - 80.6%],05-12-2020
5,AL- HUNTSVILLE,81.69,14,14,19,80.8,85.16,14 [14 - 19],81.69% [80.8% - 85.16%],05-12-2020
6,AL- MOBILE,83.32,42,39,49,81.4,85.5,42 [39 - 49],83.32% [81.4% - 85.5%],05-12-2020
7,AL- MONTGOMERY,81.94,14,14,18,80.97,85.43,14 [14 - 18],81.94% [80.97% - 85.43%],05-12-2020
9,AL- TUSCALOOSA,82.91,14,14,17,81.4,86.01,14 [14 - 17],82.91% [81.4% - 86.01%],05-12-2020
11,AZ- MESA,91.07,117,108,137,85.51,100.71,117 [108 - 137],91.07% [85.51% - 100.71%],05-12-2020
12,AZ- PHOENIX,87.19,291,266,339,83.38,93.35,291 [266 - 339],87.19% [83.38% - 93.35%],05-12-2020
14,AZ- SUN CITY,84.59,16,15,19,82.22,88.52,16 [15 - 19],84.59% [82.22% - 88.52%],05-12-2020
15,AZ- TUCSON,85.46,74,68,87,82.22,90.22,74 [68 - 87],85.46% [82.22% - 90.22%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,81.16,28,25,37,80.21,83.17,28 [25 - 37],81.16% [80.21% - 83.17%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,82.27,0 [0 - 1],80.0% [80.0% - 82.27%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.1,0 [0 - 0],80.0% [80.0% - 80.1%],05-12-2020
23,CA- ORANGE CO.,85.68,217,199,266,82.54,92.63,217 [199 - 266],85.68% [82.54% - 92.63%],05-12-2020
25,CA- BAKERSFIELD,81.77,28,26,37,80.83,84.34,28 [26 - 37],81.77% [80.83% - 84.34%],05-12-2020
31,CA- CHICO,81.84,0,0,3,80.62,86.72,0 [0 - 3],81.84% [80.62% - 86.72%],05-12-2020
33,CA- CONTRA COSTA CO.,97.97,172,158,210,87.99,119.44,172 [158 - 210],97.97% [87.99% - 119.44%],05-12-2020
43,CA- FRESNO,83.8,42,38,51,81.1,87.93,42 [38 - 51],83.8% [81.1% - 87.93%],05-12-2020
56,CA- LOS ANGELES,85.2,646,590,789,82.31,91.58,646 [590 - 789],85.2% [82.31% - 91.58%],05-12-2020
58,CA- MODESTO,88.29,70,64,87,83.2,99.14,70 [64 - 87],88.29% [83.2% - 99.14%],05-12-2020
62,CA- NAPA,89.93,28,25,33,82.58,101.65,28 [25 - 33],89.93% [82.58% - 101.65%],05-12-2020
65,CA- ALAMEDA CO.,96.22,263,241,319,87.22,115.48,263 [241 - 319],96.22% [87.22% - 115.48%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,83.73,14,14,19,81.61,88.26,14 [14 - 19],83.73% [81.61% - 88.26%],05-12-2020
73,CA- REDDING,84.47,21,19,27,81.57,91.37,21 [19 - 27],84.47% [81.57% - 91.37%],05-12-2020
77,CA- SACRAMENTO,91.82,280,254,339,85.0,105.88,280 [254 - 339],91.82% [85.0% - 105.88%],05-12-2020
78,CA- SALINAS,90.05,35,33,44,84.41,102.32,35 [33 - 44],90.05% [84.41% - 102.32%],05-12-2020
79,CA- SAN BERNARDINO,86.27,182,167,224,82.78,94.06,182 [167 - 224],86.27% [82.78% - 94.06%],05-12-2020
80,CA- SAN DIEGO,89.09,315,288,386,83.94,100.32,315 [288 - 386],89.09% [83.94% - 100.32%],05-12-2020
81,CA- SAN FRANCISCO,89.7,237,218,286,84.36,101.03,237 [218 - 286],89.7% [84.36% - 101.03%],05-12-2020
82,CA- SAN JOSE,101.38,310,285,374,89.88,126.53,310 [285 - 374],101.38% [89.88% - 126.53%],05-12-2020
83,CA- SAN LUIS OBISPO,90.15,21,19,25,84.17,101.27,21 [19 - 25],90.15% [84.17% - 101.27%],05-12-2020
85,CA- SAN MATEO CO.,91.6,146,134,177,85.23,105.07,146 [134 - 177],91.6% [85.23% - 105.07%],05-12-2020
