HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,83.79,157,140,189,81.03,87.69,157 [140 - 189],83.79% [81.03% - 87.69%],05-12-2020
2,AL- DOTHAN,80.0,0,0,2,80.0,80.75,0 [0 - 2],80.0% [80.0% - 80.75%],05-12-2020
5,AL- HUNTSVILLE,82.62,26,24,30,80.8,85.32,26 [24 - 30],82.62% [80.8% - 85.32%],05-12-2020
6,AL- MOBILE,83.32,42,39,49,81.4,85.64,42 [39 - 49],83.32% [81.4% - 85.64%],05-12-2020
7,AL- MONTGOMERY,82.91,21,20,24,80.97,85.37,21 [20 - 24],82.91% [80.97% - 85.37%],05-12-2020
9,AL- TUSCALOOSA,82.91,14,14,17,81.4,85.71,14 [14 - 17],82.91% [81.4% - 85.71%],05-12-2020
11,AZ- MESA,90.09,105,98,126,85.66,100.45,105 [98 - 126],90.09% [85.66% - 100.45%],05-12-2020
12,AZ- PHOENIX,86.54,263,244,315,83.54,93.2,263 [244 - 315],86.54% [83.54% - 93.2%],05-12-2020
14,AZ- SUN CITY,84.18,14,14,18,82.22,88.4,14 [14 - 18],84.18% [82.22% - 88.4%],05-12-2020
15,AZ- TUCSON,84.92,65,60,79,82.22,90.14,65 [60 - 79],84.92% [82.22% - 90.14%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,81.66,43,37,50,80.21,83.4,43 [37 - 50],81.66% [80.21% - 83.4%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,82.27,0 [0 - 1],80.0% [80.0% - 82.27%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.41,0 [0 - 0],80.0% [80.0% - 80.41%],05-12-2020
23,CA- ORANGE CO.,85.51,210,194,257,82.64,92.3,210 [194 - 257],85.51% [82.64% - 92.3%],05-12-2020
