date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
01-10-2021,18,18,18
01-11-2021,18,18,18
01-12-2021,17,17,17
01-13-2021,17,17,17
01-14-2021,20,19,20
01-15-2021,21,20,22
01-16-2021,19,19,19
01-17-2021,18,18,18
01-18-2021,17,17,17
01-19-2021,17,17,17
01-20-2021,17,17,17
01-21-2021,17,17,17
01-22-2021,17,17,18
01-23-2021,18,16,18
01-24-2021,18,16,19
01-25-2021,18,16,20
01-26-2021,18,16,20
01-27-2021,19,16,21
01-28-2021,18,16,21
01-29-2021,18,15,22
01-30-2021,20,16,22
01-31-2021,20,16,23
02-01-2021,20,16,24
02-02-2021,20,16,26
02-03-2021,21,16,26
02-04-2021,21,15,27
02-05-2021,21,15,28
02-06-2021,21,15,28
02-07-2021,21,15,29
02-08-2021,22,15,30
02-09-2021,22,15,30
02-10-2021,21,15,31
02-11-2021,21,15,32
02-12-2021,22,15,32
02-13-2021,22,15,34
02-14-2021,22,15,35
02-15-2021,22,14,35
02-16-2021,22,13,36
02-17-2021,22,13,37
02-18-2021,21,12,37
02-19-2021,21,12,38
02-20-2021,21,12,38
02-21-2021,21,12,38
02-22-2021,21,12,38
02-23-2021,20,11,38
02-24-2021,20,10,38
02-25-2021,20,10,37
02-26-2021,19,9,37
02-27-2021,19,8,36
02-28-2021,18,8,36
03-01-2021,18,8,36
03-02-2021,17,8,35
03-03-2021,17,7,35
03-04-2021,16,7,33
03-05-2021,16,6,33
03-06-2021,16,5,32
03-07-2021,14,5,31
03-08-2021,14,5,30
03-09-2021,14,5,29
03-10-2021,13,4,28
03-11-2021,13,4,28
03-12-2021,13,4,27
03-13-2021,12,4,26
