HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,89,4407,4393,4409,01-22-2020
2,AL- DOTHAN,81,64,64,64,01-22-2020
5,AL- HUNTSVILLE,87,711,711,711,01-22-2020
6,AL- MOBILE,88,1281,1280,1281,01-22-2020
7,AL- MONTGOMERY,86,561,561,561,01-22-2020
9,AL- TUSCALOOSA,86,385,385,385,01-22-2020
11,AZ- MESA,103,2702,2699,2702,01-22-2020
12,AZ- PHOENIX,94,6288,6279,6288,01-22-2020
14,AZ- SUN CITY,90,459,459,459,01-22-2020
15,AZ- TUCSON,88,1228,1225,1228,01-22-2020
16,AR- FORT SMITH,80,16,16,16,01-22-2020
18,AR- JONESBORO,80,35,35,35,01-22-2020
19,AR- LITTLE ROCK,84,1494,1491,1494,01-22-2020
21,AR- SPRINGDALE,82,127,127,127,01-22-2020
22,AR- TEXARKANA,80,35,35,35,01-22-2020
23,CA- ORANGE CO.,95,6827,6819,6828,01-22-2020
25,CA- BAKERSFIELD,85,1119,1119,1119,01-22-2020
31,CA- CHICO,89,312,311,312,01-22-2020
33,CA- CONTRA COSTA CO.,125,5416,5410,5416,01-22-2020
43,CA- FRESNO,89,1252,1251,1252,01-22-2020
56,CA- LOS ANGELES,94,20022,19995,20023,01-22-2020
58,CA- MODESTO,106,2582,2579,2582,01-22-2020
62,CA- NAPA,105,869,868,869,01-22-2020
65,CA- ALAMEDA CO.,121,8224,8214,8225,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,90,628,628,628,01-22-2020
73,CA- REDDING,91,704,704,704,01-22-2020
77,CA- SACRAMENTO,109,8023,8013,8023,01-22-2020
78,CA- SALINAS,110,1403,1402,1403,01-22-2020
79,CA- SAN BERNARDINO,98,5903,5897,5905,01-22-2020
80,CA- SAN DIEGO,101,8655,8644,8655,01-22-2020
81,CA- SAN FRANCISCO,104,7231,7222,7231,01-22-2020
82,CA- SAN JOSE,132,9439,9427,9442,01-22-2020
83,CA- SAN LUIS OBISPO,101,575,574,575,01-22-2020
85,CA- SAN MATEO CO.,108,4534,4530,4535,01-22-2020
86,CA- SANTA BARBARA,95,839,838,839,01-22-2020
87,CA- SANTA CRUZ,139,1257,1257,1257,01-22-2020
