HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,84.26,201,175,271,81.05,92.46,201 [175 - 271],84.26% [81.05% - 92.46%],05-12-2020
2,AL- DOTHAN,80.16,2,1,9,80.0,83.77,2 [1 - 9],80.16% [80.0% - 83.77%],05-12-2020
5,AL- HUNTSVILLE,83.41,39,35,51,80.85,89.41,39 [35 - 51],83.41% [80.85% - 89.41%],05-12-2020
6,AL- MOBILE,83.51,47,43,66,81.54,89.28,47 [43 - 66],83.51% [81.54% - 89.28%],05-12-2020
7,AL- MONTGOMERY,82.95,24,22,35,80.97,88.67,24 [22 - 35],82.95% [80.97% - 88.67%],05-12-2020
9,AL- TUSCALOOSA,83.12,16,15,24,81.4,90.02,16 [15 - 24],83.12% [81.4% - 90.02%],05-12-2020
11,AZ- MESA,97.53,204,187,257,88.33,122.58,204 [187 - 257],97.53% [88.33% - 122.58%],05-12-2020
12,AZ- PHOENIX,91.24,508,464,639,85.31,107.47,508 [464 - 639],91.24% [85.31% - 107.47%],05-12-2020
14,AZ- SUN CITY,87.31,32,30,42,83.46,97.65,32 [30 - 42],87.31% [83.46% - 97.65%],05-12-2020
15,AZ- TUCSON,88.63,127,116,166,83.61,102.5,127 [116 - 166],88.63% [83.61% - 102.5%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,1,80.0,80.47,0 [0 - 1],80.0% [80.0% - 80.47%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,81.11,0 [0 - 0],80.0% [80.0% - 81.11%],05-12-2020
19,AR- LITTLE ROCK,82.27,67,56,88,80.21,85.93,67 [56 - 88],82.27% [80.21% - 85.93%],05-12-2020
21,AR- SPRINGDALE,81.9,7,6,9,80.0,82.93,7 [6 - 9],81.9% [80.0% - 82.93%],05-12-2020
22,AR- TEXARKANA,80.36,0,0,1,80.0,81.53,0 [0 - 1],80.36% [80.0% - 81.53%],05-12-2020
23,CA- ORANGE CO.,86.52,262,235,350,82.26,98.52,262 [235 - 350],86.52% [82.26% - 98.52%],05-12-2020
