date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,82.92,,,,,,,,35,,,actual
04-24-2021,83.09,,,,,,,,37,,,actual
05-01-2021,83.75,,,,,,,,45,,,actual
05-08-2021,84.92,51,48,75,83.5,95.26,51 [48 - 75],84.92% [83.5% - 95.26%],59,42,183,projected
05-15-2021,85.75,62,58,114,83.92,110.53,62 [58 - 114],85.75% [83.92% - 110.53%],69,47,366,projected
05-22-2021,89.42,103,91,209,84.34,140.72,103 [91 - 209],89.42% [84.34% - 140.72%],113,52,728,projected
05-29-2021,96.51,178,159,331,86.26,184.09,178 [159 - 331],96.51% [86.26% - 184.09%],198,75,1248,projected
06-05-2021,106.94,292,257,442,89.76,203.69,292 [257 - 442],106.94% [89.76% - 203.69%],323,117,1483,projected
06-12-2021,123.79,473,416,648,93.09,233.21,473 [416 - 648],123.79% [93.09% - 233.21%],525,157,1837,projected
06-19-2021,137.88,615,549,813,96.93,260.9,615 [549 - 813],137.88% [96.93% - 260.9%],694,203,2169,projected
