date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-10-2021,86.21,,,,,,,,235,,,actual
04-17-2021,85.94,,,,,,,,225,,,actual
04-24-2021,85.73,,,,,,,,217,,,actual
05-01-2021,85.84,196,189,207,84.75,87.53,196 [189 - 207],85.84% [84.75% - 87.53%],221,180,285,projected
05-08-2021,86.81,228,215,241,84.91,89.22,228 [215 - 241],86.81% [84.91% - 89.22%],258,186,349,projected
05-15-2021,88.37,279,264,298,85.34,91.57,279 [264 - 298],88.37% [85.34% - 91.57%],317,202,438,projected
05-22-2021,90.09,339,317,369,86.05,95.08,339 [317 - 369],90.09% [86.05% - 95.08%],382,229,571,projected
05-29-2021,92.26,411,386,458,87.45,100.29,411 [386 - 458],92.26% [87.45% - 100.29%],464,282,768,projected
06-05-2021,95.4,520,481,586,89.01,107.13,520 [481 - 586],95.4% [89.01% - 107.13%],583,341,1027,projected
06-12-2021,99.92,670,622,770,90.8,117.11,670 [622 - 770],99.92% [90.8% - 117.11%],754,409,1405,projected
