date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,97.46,,,,,,,,336,,,actual
01-16-2021,96.63,,,,,,,,320,,,actual
01-23-2021,97.78,,,,,,,,342,,,actual
01-30-2021,94.24,241,236,249,93.05,96.22,241 [236 - 249],94.24% [93.05% - 96.22%],274,251,312,projected
02-06-2021,95.33,260,250,275,92.32,100.17,260 [250 - 275],95.33% [92.32% - 100.17%],295,237,388,projected
02-13-2021,97.05,289,273,312,91.59,104.84,289 [273 - 312],97.05% [91.59% - 104.84%],328,223,478,projected
02-20-2021,97.98,305,283,335,90.24,109.21,305 [283 - 335],97.98% [90.24% - 109.21%],346,197,562,projected
02-27-2021,97.98,292,269,330,89.98,109.73,292 [269 - 330],97.98% [89.98% - 109.73%],346,192,572,projected
03-06-2021,97.26,274,252,318,88.21,112.17,274 [252 - 318],97.26% [88.21% - 112.17%],332,158,619,projected
03-13-2021,96.16,246,226,296,87.43,113.68,246 [226 - 296],96.16% [87.43% - 113.68%],311,143,648,projected
