date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,88.92,,,,,,,,107,,,actual
01-16-2021,89.26,,,,,,,,111,,,actual
01-23-2021,88.17,,,,,,,,98,,,actual
01-30-2021,87.34,66,65,69,86.84,87.84,66 [65 - 69],87.34% [86.84% - 87.84%],88,82,94,projected
02-06-2021,86.26,61,58,65,85.42,87.67,61 [58 - 65],86.26% [85.42% - 87.67%],75,65,92,projected
02-13-2021,85.67,56,52,60,84.0,87.92,56 [52 - 60],85.67% [84.0% - 87.92%],68,48,95,projected
02-20-2021,85.09,49,46,54,83.59,87.92,49 [46 - 54],85.09% [83.59% - 87.92%],61,43,95,projected
02-27-2021,84.67,45,42,52,82.84,88.01,45 [42 - 52],84.67% [82.84% - 88.01%],56,34,96,projected
03-06-2021,84.42,42,40,50,82.75,88.34,42 [40 - 50],84.42% [82.75% - 88.34%],53,33,100,projected
03-13-2021,84.25,38,36,49,82.5,89.17,38 [36 - 49],84.25% [82.5% - 89.17%],51,30,110,projected
