date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,95.16,,,,,,,,626,,,actual
01-16-2021,95.94,,,,,,,,658,,,actual
01-23-2021,96.66,,,,,,,,688,,,actual
01-30-2021,93.9,505,495,517,92.67,95.21,505 [495 - 517],93.9% [92.67% - 95.21%],574,523,628,projected
02-06-2021,95.28,555,531,583,92.18,99.35,555 [531 - 583],95.28% [92.18% - 99.35%],631,503,799,projected
02-13-2021,97.58,640,605,690,91.77,104.99,640 [605 - 690],97.58% [91.77% - 104.99%],726,486,1032,projected
02-20-2021,99.59,712,667,791,91.79,111.99,712 [667 - 791],99.59% [91.79% - 111.99%],809,487,1321,projected
02-27-2021,101.36,776,718,885,91.38,119.67,776 [718 - 885],101.36% [91.38% - 119.67%],882,470,1638,projected
03-06-2021,101.99,796,732,928,90.49,125.65,796 [732 - 928],101.99% [90.49% - 125.65%],908,433,1885,projected
03-13-2021,102.02,786,718,923,90.15,126.72,786 [718 - 923],102.02% [90.15% - 126.72%],909,419,1929,projected
